,1,2,3,4,5,6,7,8,9,10
150,K,LVS,BXP,GM,ZION,UHS,VTRS,LUV,KMX,MCHP
151,ANSS,IEX,SRE,GPN,AES,REG,WELL,DVA,NEM,LVS
152,KMX,DRI,ANSS,REG,WELL,SRE,JCI,GPN,TSCO,MO
153,KMX,DRI,ANSS,WELL,GPN,SRE,MO,DVA,VTRS,REG
154,MCHP,VTRS,DRI,AKAM,NEM,ANSS,KMX,GPN,V,WELL
155,MCHP,V,AKAM,VTRS,ANSS,GPN,KMX,DRI,DVA,INTU
156,MCHP,ZION,V,LVS,DRI,ANSS,GPN,IEX,INTU,HIG
157,ZION,LVS,MO,V,IEX,MCHP,TSCO,JCI,HIG,GPN
158,K,ZION,MO,MCHP,IEX,LVS,HIG,V,UHS,ADI
159,K,MO,IEX,ZION,V,TSCO,HIG,LVS,WELL,MCHP
160,K,ADI,NEM,LVS,DVA,MCHP,WELL,GPN,MO,HIG
161,NEM,ANSS,WELL,V,ADI,BXP,IEX,GPN,AES,JCI
162,NEM,WELL,ANSS,V,ZION,AES,SRE,DRI,IEX,JCI
163,DRI,AES,WELL,SRE,IEX,LUV,BXP,UHS,NEM,ANSS
164,WELL,DRI,ZION,SRE,JCI,HIG,UHS,MCHP,BXP,AES
165,VTRS,PYPL,TSCO,ANSS,ZION,AKAM,DVA,ADI,MCHP,INTU
166,GPN,SRE,REG,BXP,UHS,K,TJX,LUV,DRI,KMX
167,SRE,WELL,DRI,TJX,GPN,V,BXP,UHS,KMX,REG
168,WELL,DRI,BXP,REG,SRE,HIG,KMX,NEM,TJX,GM
169,DRI,WELL,LVS,BXP,REG,V,HIG,LUV,TJX,KMX
170,LUV,AKAM,LVS,TJX,BXP,V,HIG,REG,ANSS,DRI
171,LUV,LVS,DRI,WELL,REG,AKAM,PYPL,V,GPN,KMX
172,LUV,WELL,BXP,REG,DRI,LVS,AKAM,TJX,HIG,GM
173,LUV,BXP,WELL,TJX,DRI,LVS,REG,NEM,PYPL,HIG
174,BXP,LUV,TJX,WELL,NEM,DRI,REG,LVS,AKAM,ZION
175,LUV,BXP,NEM,TJX,MCHP,LVS,DRI,WELL,HIG,AKAM
176,LUV,BXP,ZION,HIG,WELL,LVS,REG,MCHP,AES,DRI
177,LUV,BXP,WELL,DRI,NEM,LVS,HIG,REG,ZION,TJX
178,LUV,BXP,DRI,SRE,NEM,WELL,GPN,UHS,KMX,AES
179,DRI,LUV,NEM,BXP,SRE,GPN,AKAM,AES,WELL,ANSS
180,AKAM,DRI,NEM,LUV,GPN,SRE,AES,BXP,IEX,ANSS
181,AKAM,ADI,NEM,PYPL,ANSS,LUV,INTU,MCHP,DRI,BXP
182,UHS,HIG,JCI,KMX,DRI,ZION,WELL,TJX,MO,DVA
183,ADI,BXP,TSCO,LUV,NEM,AKAM,LVS,PYPL,V,ANSS
184,UHS,WELL,NEM,HIG,AES,JCI,SRE,PYPL,BXP,DRI
185,AES,WELL,ZION,TJX,UHS,HIG,SRE,PYPL,NEM,MO
186,LUV,TJX,LVS,AES,DRI,V,MCHP,IEX,WELL,BXP
187,TJX,NEM,BXP,SRE,DRI,HIG,LUV,LVS,WELL,REG
188,TJX,TSCO,GPN,AKAM,V,PYPL,ANSS,NEM,ADI,SRE
189,AKAM,TSCO,BXP,GPN,LUV,GM,V,PYPL,TJX,ANSS
190,KMX,ZION,VTRS,AES,SRE,INTU,MCHP,TSCO,ANSS,HIG
191,DRI,DVA,KMX,BXP,LUV,UHS,WELL,GPN,REG,ANSS
192,DRI,KMX,ANSS,DVA,WELL,BXP,LUV,GPN,PYPL,UHS
193,DRI,KMX,BXP,WELL,LUV,REG,AES,UHS,GPN,ANSS
194,KMX,LUV,ANSS,IEX,ADI,PYPL,DRI,TSCO,WELL,BXP
195,GM,LVS,TSCO,HIG,LUV,ZION,IEX,SRE,WELL,AES
196,IEX,AKAM,TSCO,LVS,GM,GPN,HIG,LUV,ZION,V
197,IEX,AKAM,LVS,MCHP,GPN,ADI,V,DVA,GM,PYPL
198,IEX,AKAM,DVA,MCHP,GPN,DRI,ADI,PYPL,ANSS,V
199,BXP,VTRS,REG,GM,LUV,TJX,GPN,DRI,WELL,JCI
200,VTRS,BXP,TJX,REG,DRI,ZION,WELL,LUV,JCI,GPN
201,VTRS,TJX,BXP,ZION,DRI,PYPL,TSCO,AES,LUV,NEM
202,VTRS,BXP,TJX,LUV,ZION,GM,DRI,PYPL,WELL,MO
203,ZION,MO,BXP,VTRS,HIG,TJX,DRI,INTU,AES,REG
204,KMX,MO,BXP,VTRS,HIG,AES,WELL,DRI,INTU,TJX
205,KMX,VTRS,AES,GPN,BXP,WELL,HIG,PYPL,ANSS,V
206,KMX,AES,ZION,JCI,GM,GPN,IEX,BXP,HIG,ANSS
207,GM,AES,ZION,IEX,JCI,VTRS,KMX,V,MCHP,SRE
208,GM,AES,ZION,JCI,IEX,KMX,TSCO,MCHP,ADI,ANSS
209,GM,AES,KMX,AKAM,K,TSCO,REG,PYPL,BXP,LVS
210,GM,AES,KMX,LVS,AKAM,K,V,PYPL,BXP,REG
211,AKAM,GM,AES,K,V,LVS,PYPL,GPN,DVA,IEX
212,AKAM,DVA,GM,K,NEM,PYPL,IEX,AES,V,GPN
213,ANSS,AKAM,PYPL,AES,MCHP,ADI,TSCO,INTU,TJX,VTRS
214,ANSS,PYPL,AES,TJX,VTRS,MCHP,ADI,AKAM,INTU,K
215,ANSS,PYPL,AES,TJX,GM,ADI,INTU,MCHP,BXP,VTRS
216,HIG,ANSS,AES,PYPL,TJX,ADI,MCHP,INTU,V,GM
217,HIG,AES,DRI,GM,V,ANSS,MO,INTU,PYPL,GPN
218,HIG,DRI,AES,GM,V,MO,K,ANSS,KMX,MCHP
219,HIG,DRI,GM,K,KMX,ANSS,AES,VTRS,BXP,MO
220,HIG,KMX,GM,K,VTRS,IEX,DRI,NEM,AES,ANSS
221,MO,GM,HIG,IEX,VTRS,BXP,TSCO,K,REG,LUV
222,HIG,MO,IEX,BXP,GM,TSCO,K,AKAM,VTRS,UHS
223,HIG,AES,ANSS,MO,ADI,GM,K,PYPL,LVS,MCHP
224,K,HIG,ADI,VTRS,JCI,GM,NEM,AES,AKAM,BXP
225,ADI,KMX,AES,TJX,ANSS,K,JCI,TSCO,GM,GPN
226,ADI,TJX,GM,BXP,JCI,KMX,AES,HIG,VTRS,INTU
227,ADI,GM,BXP,TJX,INTU,SRE,UHS,NEM,JCI,LVS
228,GM,SRE,UHS,BXP,NEM,TJX,LVS,LUV,INTU,DRI
229,NEM,GM,ZION,SRE,LUV,IEX,BXP,UHS,LVS,REG
230,ZION,NEM,HIG,TSCO,DRI,VTRS,IEX,KMX,SRE,UHS
231,NEM,DRI,KMX,BXP,SRE,WELL,ZION,LVS,UHS,IEX
232,DRI,KMX,WELL,JCI,GM,TJX,BXP,PYPL,LVS,V
233,DRI,GM,AES,MCHP,LVS,LUV,WELL,ADI,GPN,BXP
234,LVS,AES,LUV,GM,MCHP,DRI,ADI,BXP,GPN,IEX
235,LVS,V,GPN,IEX,PYPL,TSCO,DRI,LUV,GM,WELL
236,LVS,PYPL,GPN,GM,DRI,DVA,AES,LUV,V,UHS
237,GPN,LVS,GM,PYPL,DVA,DRI,AES,V,UHS,ADI
238,GPN,GM,LVS,DVA,AES,ADI,TJX,V,DRI,AKAM
239,ADI,LVS,GPN,GM,TJX,DRI,LUV,MCHP,INTU,AES
240,ADI,LVS,GPN,TJX,GM,DRI,INTU,MCHP,V,IEX
241,ADI,GPN,LVS,V,TJX,IEX,GM,INTU,PYPL,AES
242,LVS,ADI,GPN,V,HIG,VTRS,JCI,WELL,IEX,REG
243,LVS,ADI,GPN,UHS,GM,HIG,VTRS,V,LUV,REG
244,KMX,LVS,ADI,DRI,GM,JCI,LUV,MCHP,V,ZION
245,KMX,GM,ADI,LVS,DRI,LUV,V,JCI,HIG,AES
246,KMX,GM,ADI,JCI,TJX,LUV,LVS,AES,INTU,MCHP
247,PYPL,LUV,GM,DRI,LVS,ADI,UHS,GPN,TJX,V
248,PYPL,V,GPN,MO,UHS,GM,LVS,LUV,NEM,DVA
249,V,PYPL,GPN,GM,ADI,DVA,MO,MCHP,KMX,UHS
250,V,PYPL,GPN,GM,MCHP,ADI,ANSS,DVA,KMX,MO
251,PYPL,V,INTU,GPN,GM,TJX,ANSS,MCHP,KMX,LVS
252,INTU,PYPL,V,GM,TJX,GPN,LVS,ADI,JCI,ANSS
253,INTU,V,TJX,PYPL,GM,JCI,ADI,LVS,GPN,ANSS
254,INTU,V,GM,PYPL,ADI,LUV,LVS,MCHP,GPN,ANSS
255,INTU,GPN,LVS,LUV,GM,PYPL,V,ADI,NEM,WELL
256,LVS,INTU,GPN,LUV,GM,ADI,PYPL,V,NEM,VTRS
257,INTU,GM,GPN,LUV,LVS,KMX,ADI,NEM,PYPL,VTRS
258,INTU,GM,GPN,KMX,LVS,ANSS,PYPL,LUV,ADI,VTRS
259,INTU,ANSS,LVS,GM,PYPL,KMX,ADI,MCHP,GPN,AKAM
260,GM,LVS,INTU,ZION,ADI,GPN,PYPL,MCHP,ANSS,BXP
